county,ward,total,Screnock,Dallet,SCATTERING
,Town of BUENA VISTA Ward 2,76,37,39,0
,Town of CARSON Wards 1-2,204,102,102,0
,Town of DEWEY Ward 1,172,69,102,1
,Town of EAU PLEINE Ward 1,170,79,90,1
,Town of GRANT Wards 1-4,371,173,198,0
,Town of HULL Wards 1-3,302,111,190,1
,Town of HULL Wards 4-7,489,220,267,2
,Town of HULL Ward 8,167,71,96,0
,Town of LANARK Ward 1,201,96,104,1
,Town of LANARK Ward 2,130,72,58,0
,Town of LINWOOD Wards 1-2,227,107,120,0
,Town of NEW HOPE Ward 1,235,76,159,0
,Town of PINE GROVE Wards 1-2,124,58,66,0
,Town of PLOVER Ward 1-3,265,144,121,0
,Town of SHARON Wards 1-3,448,211,237,0
,Town of STOCKTON Wards 1-3,415,184,230,1
,Town of STOCKTON Wards 4-5,213,86,127,0
,Village of ALMOND Ward 1,93,48,45,0
,Village of AMHERST Ward 1-2,183,50,133,0
,Village of AMHERST JUNCTION Ward 1,63,28,35,0
,Village of JUNCTION CITY Ward 1,68,28,40,0
,VILLAGE OF MILLADORE Ward 2,0,0,0,0
,Village of NELSONVILLE Ward 1,67,16,51,0
,Village of PARK RIDGE Ward 1,211,61,150,0
,Village of PLOVER Ward 1,183,74,109,0
,Village of PLOVER Wards 2-3,399,169,230,0
,Village of PLOVER Wards 4-5,556,217,339,0
,Village of PLOVER Ward 6,236,85,151,0
,Village of PLOVER Ward 7,97,26,71,0
,Village of PLOVER Wards 8-9,240,96,144,0
,Village of ROSHOLT Ward 1,98,49,49,0
,Village of WHITING Wards 1-4,325,105,220,0
,City of STEVENS POINT Wards 1-3,350,61,289,0
,City of STEVENS POINT Wards 4-5,223,64,159,0
,City of STEVENS POINT Ward 6,42,2,40,0
,City of STEVENS POINT Wards 7-8,212,46,166,0
,City of STEVENS POINT Ward 9,53,9,44,0
,City of STEVENS POINT Ward 10,40,8,32,0
,City of STEVENS POINT Ward 11,218,46,171,1
,City of STEVENS POINT Ward 12,53,11,42,0
,City of STEVENS POINT Ward 13,105,27,78,0
,City of STEVENS POINT Wards 14-15,286,61,225,0
,"City of STEVENS POINT Wards 16-18,37,39",502,160,342,0
,"City of STEVENS POINT Wards 19-20,36,38,41,45",292,74,218,0
,City of STEVENS POINT Ward 21,37,9,28,0
,"City of STEVENS POINT Wards 22-24,35,40,43,46",594,159,435,0
,City of STEVENS POINT Wards 25-26,249,57,192,0
,City of STEVENS POINT Ward 27,87,28,59,0
,City of STEVENS POINT Wards 28-29,281,89,191,1
,City of STEVENS POINT Ward 30,122,40,82,0
,"City of STEVENS POINT Wards 31,33,42",144,37,107,0
,"City of STEVENS POINT Wards 32,34",16,3,13,0
,City of STEVENS POINT Ward 44,0,0,0,0
,County Totals:,"11,902","4,436","7,456",10
PRICE ,Town of CATAWBA Ward 1,70,36,34,0
,Town of EISENSTEIN Wards 1-2,142,64,78,0
,Town of ELK Wards 1-2,393,218,175,0
,Town of EMERY Ward 1,107,58,49,0
,Town of FIFIELD Ward 1,163,78,85,0
,Town of FIFIELD Ward 2,83,51,32,0
,Town of FLAMBEAU Ward 1,151,83,68,0
,Town of GEORGETOWN Ward 1,48,27,21,0
,Town of HACKETT Ward 1,67,40,27,0
,Town of HARMONY Ward 1,69,41,28,0
,Town of HILL Ward 1,98,56,42,0
,Town of KENNAN Ward 1,69,34,35,0
,Town of KNOX Ward 1,123,67,56,0
,Town of LAKE Wards 1-2,243,106,137,0
,Town of OGEMA Ward 1,235,130,105,0
,Town of PRENTICE Ward 1,135,75,60,0
,Town of SPIRIT Ward 1,84,51,33,0
,Town of WORCESTER Wards 1-3,558,305,253,0
,Village of CATAWBA Ward 1,34,13,21,0
,Village of KENNAN Ward 1,44,23,21,0
,Village of PRENTICE Ward 1,201,117,84,0
,City of PARK FALLS Wards 1-7,414,166,248,0
,City of PHILLIPS Wards 1-4,336,149,187,0
,County Totals:,"3,867","1,988","1,879",0
RACINE ,Town of BURLINGTON Wards 1-7,737,460,275,2
,Town of BURLINGTON Wards 8-11,460,265,194,1
,Town of DOVER Wards 1-8,621,425,195,1
,Town of NORWAY Wards 1-11,"1,688","1,214",474,0
,Town of RAYMOND Wards 1-6,931,616,315,0
,Town of WATERFORD Wards 1-10,"1,496","1,042",453,1
,Town of YORKVILLE Wards 1-5,"1,049",624,422,3
,Village of CALEDONIA Wards 1-2,589,386,202,1
,Village of CALEDONIA Wards 3-5,883,490,392,1
,"Village of CALEDONIA Wards 6-8,20",827,445,381,1
,"Village of CALEDONIA Wards 9-10,12-13",981,499,480,2
,"Village of CALEDONIA Wards 11,14-15,17",977,522,454,1
,"Village of CALEDONIA Wards 16,18-19",615,369,244,2
,Village of ELMWOOD PARK Ward 1,125,64,61,0
,"Village of MOUNT PLEASANT Wards 1,17-18,20,23",718,334,384,0
,"Village of MOUNT PLEASANT Wards 2-4,11",647,279,367,1
,Village of MOUNT PLEASANT Wards 5-8,"1,089",492,595,2
,"Village of MOUNT PLEASANT Wards 9,13-14",815,431,383,1
,"Village of MOUNT PLEASANT Wards 10,12,15-16","1,251",581,668,2
,"Village of MOUNT PLEASANT Wards 19,21-22",920,448,472,0
,Village of NORTH BAY Ward 1,98,42,56,0
,Village of ROCHESTER Ward 1-6,761,506,254,1
,Village of STURTEVANT Wards 1-8,788,414,374,0
,Village of UNION GROVE Wards 1-7,725,451,274,0
,Village of WATERFORD Ward 1-7,960,617,342,1
,Village of WIND POINT Wards 1-3,511,251,259,1
,City of BURLINGTON Wards 1-4,890,406,484,0
,City of BURLINGTON Wards 5-8,"1,010",535,474,1
,City of RACINE Ward 1,209,56,151,2
,City of RACINE Ward 2,103,23,79,1
,City of RACINE Ward 3,482,114,368,0
,City of RACINE Ward 4,79,7,72,0
,City of RACINE Ward 5,65,5,58,2
,City of RACINE Ward 6,81,31,50,0
,City of RACINE Ward 7,49,6,41,2
,City of RACINE Ward 8,100,31,68,1
,City of RACINE Ward 9,212,63,147,2
,City of RACINE Ward 10,338,118,220,0
,City of RACINE Ward 11,166,64,102,0
,City of RACINE Ward 12,232,94,138,0
,City of RACINE Ward 13,330,128,201,1
,City of RACINE Ward 14,305,130,175,0
,City of RACINE Ward 15,165,54,111,0
,City of RACINE Ward 16,300,128,172,0
,City of RACINE Ward 17,65,29,36,0
,City of RACINE Ward 18,45,9,36,0
,City of RACINE Ward 19,54,11,43,0
,City of RACINE Ward 20,391,157,232,2
,City of RACINE Ward 21,172,60,112,0
,City of RACINE Ward 22,340,92,248,0
,City of RACINE Ward 23,282,96,186,0
,City of RACINE Ward 24,214,73,141,0
,City of RACINE Ward 25,162,54,107,1
,City of RACINE Ward 26,63,31,32,0
,City of RACINE Ward 27,494,173,320,1
,City of RACINE Ward 28,369,150,219,0
,City of RACINE Ward 29,283,110,173,0
,City of RACINE Ward 30,189,65,124,0
,City of RACINE Ward 31,178,79,99,0
,City of RACINE Ward 32,118,46,72,0
,City of RACINE Ward 33,167,65,102,0
,City of RACINE Ward 34,351,131,220,0
,City of RACINE Ward 35,286,97,189,0
,City of RACINE Ward 36,152,52,100,0
,County Totals:,"30,753","15,840","14,872",41
RICHLAND ,Town of AKAN Ward 1,78,34,44,0
,Town of BLOOM Ward 1,126,60,66,0
,"Town of BUENA VISTA Ward 1-3,2",254,131,123,0
,Town of DAYTON Ward 1,126,52,74,0
,Town of EAGLE Ward 1,71,42,29,0
,Town of FOREST Ward 1,70,28,42,0
,Town of HENRIETTA Ward 1,86,34,52,0
,Town of ITHACA Ward 1,116,49,67,0
,Town of MARSHALL Ward 1-2,127,70,57,0
,Town of ORION Ward 1,86,33,53,0
,Town of RICHLAND Ward 1-4,285,156,129,0
,Town of RICHWOOD Ward 1-2,89,34,55,0
,Town of ROCKBRIDGE Ward 1-3,138,57,81,0
,Town of SYLVAN Ward 1-2,76,38,38,0
,Town of WESTFORD Ward 1,92,46,46,0
,Town of WILLOW Ward 1,103,52,51,0
,Village of BOAZ Ward 1,31,8,23,0
,Village of CAZENOVIA Ward 1,32,13,19,0
,Village of LONE ROCK Ward 1,160,60,100,0
,Village of VIOLA Ward 2,106,50,56,0
,Village of YUBA Ward 1,16,3,13,0
,City of RICHLAND CENTER Ward 1,96,54,42,0
,City of RICHLAND CENTER Ward 2,65,22,43,0
,City of RICHLAND CENTER Ward 3,99,43,56,0
,City of RICHLAND CENTER Ward 4,89,31,58,0
,City of RICHLAND CENTER Ward 5,102,33,69,0
,City of RICHLAND CENTER Ward 6,96,43,53,0
,City of RICHLAND CENTER Ward 7,85,39,46,0
,City of RICHLAND CENTER Ward 8,99,37,62,0
,City of RICHLAND CENTER Ward 9,126,62,64,0
,City of RICHLAND CENTER Ward 10,93,51,42,0
,City of RICHLAND CENTER Ward 11,69,34,35,0
,City of RICHLAND CENTER Ward 12,80,37,43,0
,County Totals:,"3,367","1,536","1,831",0
ROCK ,Town of AVON Ward 1,112,57,55,0
,Town of BELOIT Wards 1-3,485,232,253,0
,Town of BELOIT Wards 4-6,304,124,180,0
,Town of BELOIT Wards 7-11,832,434,397,1
,Town of BRADFORD Wards 1-2,224,122,101,1
,Town of CENTER Wards 1-2,229,97,132,0
,Town of CLINTON Ward 1,132,96,36,0
,Town of FULTON Wards 1-6,702,314,388,0
,Town of HARMONY Wards 1-6,675,267,408,0
,Town of JANESVILLE Wards 1-9,824,369,454,1
,Town of JOHNSTOWN Ward 1,230,118,112,0
,Town of LA PRAIRIE Wards 1-2,160,76,84,0
,Town of LIMA Wards 1-2,278,125,153,0
,Town of MAGNOLIA Ward 1,141,58,83,0
,Town of MILTON Wards 1-4,712,339,372,1
,Town of NEWARK Wards 1-3,220,115,105,0
,Town of PLYMOUTH Wards 1-2,194,98,95,1
,Town of PORTER Ward 1,250,86,164,0
,Town of ROCK Wards 1-8,392,157,235,0
,Town of SPRING VALLEY Ward 1,141,65,76,0
,Town of TURTLE Wards 1-4,490,244,246,0
,Town of UNION Wards 1-4,401,123,278,0
,Village of CLINTON Wards 1-3,297,152,143,2
,Village of FOOTVILLE Ward 1,163,72,91,0
,Village of ORFORDVILLE Wards 1-2,234,87,145,2
,City of BELOIT Ward 1,112,40,72,0
,City of BELOIT Ward 2,168,64,104,0
,City of BELOIT Ward 3,159,79,79,1
,City of BELOIT Ward 4,126,51,74,1
,City of BELOIT Ward 5,135,53,81,1
,City of BELOIT Ward 6,91,35,56,0
,City of BELOIT Ward 7,78,28,50,0
,City of BELOIT Ward 8,5,2,3,0
,City of BELOIT Ward 9,83,29,54,0
,City of BELOIT Ward 10,113,33,79,1
,City of BELOIT Ward 11,177,57,120,0
,City of BELOIT Ward 12,53,14,39,0
,City of BELOIT Ward 13,59,17,42,0
,City of BELOIT Ward 14,103,34,69,0
,City of BELOIT Ward 15,132,43,89,0
,City of BELOIT Ward 16,151,24,127,0
,City of BELOIT Ward 17,271,60,209,2
,City of BELOIT Ward 18,147,41,106,0
,City of BELOIT Ward 19,123,41,82,0
,City of BELOIT Ward 20,130,59,71,0
,City of BELOIT Ward 21,170,52,118,0
,City of BELOIT Ward 22,245,80,165,0
,City of BELOIT Ward 23,444,205,239,0
,City of BELOIT Ward 24,185,71,114,0
,City of BELOIT Ward 25,0,0,0,0
,CITY OF BRODHEAD Wards 7-8,20,7,13,0
,City of EDGERTON Ward 1-6,"1,097",318,779,0
,City of EVANSVILLE Wards 1-10,"1,066",249,817,0
,City of JANESVILLE Ward 1,419,149,270,0
,City of JANESVILLE Ward 2,347,133,214,0
,City of JANESVILLE Ward 3,209,57,151,1
,City of JANESVILLE Ward 4,145,45,99,1
,City of JANESVILLE Ward 5,376,106,269,1
,City of JANESVILLE Ward 6,183,70,113,0
,City of JANESVILLE Ward 7,394,129,265,0
,City of JANESVILLE Ward 8,276,107,169,0
,City of JANESVILLE Ward 9,211,78,133,0
,City of JANESVILLE Ward 10,173,51,122,0
,City of JANESVILLE Ward 11,271,74,196,1
,City of JANESVILLE Ward 12,537,226,311,0
,City of JANESVILLE Ward 13,443,122,321,0
,City of JANESVILLE Ward 14,459,142,317,0
,City of JANESVILLE Ward 15,264,72,192,0
,City of JANESVILLE Ward 16,205,67,138,0
,City of JANESVILLE Ward 17,475,179,296,0
,City of JANESVILLE Ward 18,384,127,256,1
,City of JANESVILLE Ward 19,114,43,71,0
,City of JANESVILLE Ward 20,213,93,119,1
,City of JANESVILLE Ward 21,449,175,273,1
,City of JANESVILLE Ward 22,483,211,272,0
,City of JANESVILLE Ward 23,219,82,137,0
,City of JANESVILLE Ward 24,170,56,114,0
,City of JANESVILLE Ward 25,385,165,220,0
,City of JANESVILLE Ward 26,0,0,0,0
,City of JANESVILLE Ward 27,635,253,382,0
,City of JANESVILLE Ward 28,455,187,268,0
,City of JANESVILLE Ward 29,1,0,1,0
,City of JANESVILLE Ward 30,0,0,0,0
,City of JANESVILLE Ward 31,0,0,0,0
,City of JANESVILLE Ward 32,0,0,0,0
,City of JANESVILLE Ward 33,0,0,0,0
,City of JANESVILLE Ward 34,0,0,0,0
,City of MILTON Wards 1-13,"1,202",451,749,2
,County Totals:,"24,562","9,463","15,075",24
RUSK ,Town of ATLANTA Ward 1-2,98,56,42,0
,Town of BIG BEND Ward 1-2,106,59,47,0
,Town of BIG FALLS Ward 1,46,23,23,0
,Town of CEDAR RAPIDS Ward 1,15,9,6,0
,Town of DEWEY Ward 1,135,79,56,0
,Town of FLAMBEAU Ward 1-3,161,99,62,0
,Town of GRANT Ward 1-5,116,62,54,0
,Town of GROW Ward 1,93,72,21,0
,Town of HAWKINS Ward 1,25,13,12,0
,Town of HUBBARD Ward 1,43,22,21,0
,Town of LAWRENCE Ward 1-2,58,39,19,0
,Town of MARSHALL Ward 1-2,55,37,18,0
,Town of MURRY Ward 1,50,31,19,0
,Town of RICHLAND Ward 1-2,49,28,21,0
,Town of RUSK Ward 1,77,49,28,0
,Town of SOUTH FORK Ward 1,24,14,10,0
,Town of STRICKLAND Ward 1-2,52,26,26,0
,Town of STUBBS Ward 1-2,114,59,55,0
,Town of THORNAPPLE Ward 1-5,137,87,50,0
,Town of TRUE Ward 1,72,35,37,0
,Town of WASHINGTON Ward 1,86,44,41,1
,Town of WILKINSON Ward 1,7,3,4,0
,Town of WILLARD Ward 1,78,46,32,0
,Town of WILSON Ward 1,24,20,4,0
,Village of BRUCE Ward 1,128,65,63,0
,Village of CONRATH Ward 1,19,5,14,0
,Village of GLEN FLORA Ward 1,16,11,5,0
,Village of HAWKINS Ward 1,69,34,34,1
,Village of INGRAM Ward 1,16,8,8,0
,Village of SHELDON Ward 1,40,20,20,0
,Village of TONY Ward 1,35,21,14,0
,Village of WEYERHAEUSER Ward 1-2,40,16,24,0
,City of LADYSMITH Ward 1-15,656,332,324,0
,County Totals:,"2,740","1,524","1,214",2
ST. CROIX ,Town of BALDWIN Wards 1-2,131,74,57,0
,Town of CADY Ward 1,135,85,50,0
,Town of CYLON Ward 1,103,59,44,0
,Town of EAU GALLE Wards 1-2,183,106,77,0
,Town of EMERALD Ward 1,86,58,28,0
,Town of ERIN PRAIRIE Ward 1,99,54,45,0
,Town of FOREST Ward 1,63,30,32,1
,Town of GLENWOOD Ward 1,85,58,26,1
,Town of HAMMOND Wards 1-3,247,155,92,0
,Town of HUDSON Wards 1-14,"1,188",644,542,2
,Town of KINNICKINNIC Ward 1-3,395,183,212,0
,Town of PLEASANT VALLEY Ward 1,88,50,38,0
,Town of RICHMOND Wards 1-5,310,154,156,0
,Town of RUSH RIVER Ward 1,88,47,41,0
,Town of ST. JOSEPH Ward 1-6,639,342,296,1
,Town of SOMERSET Wards 1-6,658,373,283,2
,Town of SPRINGFIELD Ward 1,111,67,44,0
,Town of STANTON Ward 1,116,62,54,0
,Town of STAR PRAIRIE Wards 1-6,419,257,162,0
,Town of TROY Ward 1-7,912,475,437,0
,Town of WARREN Wards 1-3,321,177,144,0
,Village of BALDWIN Ward 1-6,318,166,152,0
,Village of DEER PARK Ward 1,42,26,16,0
,Village of HAMMOND Wards 1-4,227,101,126,0
,Village of NORTH HUDSON Ward 1-6,641,280,359,2
,Village of ROBERTS Wards 1-4,177,79,97,1
,Village of SOMERSET Wards 1-4,229,119,110,0
,Village of STAR PRAIRIE Ward 1,95,42,53,0
,VILLAGE OF SPRING VALLEY Ward 3,2,2,0,0
,Village of WILSON Ward 1,26,16,10,0
,Village of WOODVILLE Ward 1-2,134,68,66,0
,City of GLENWOOD CITY Ward 1-2,104,59,45,0
,City of HUDSON Wards 1-2,197,102,94,1
,City of HUDSON Wards 3-4,381,179,202,0
,City of HUDSON Wards 5-6,487,203,284,0
,City of HUDSON Wards 7-8,389,170,219,0
,City of HUDSON Wards 9-10,470,157,311,2
,City of HUDSON Wards 11-12,425,175,248,2
,City of NEW RICHMOND Wards 1-2,131,65,65,1
,City of NEW RICHMOND Wards 3-4,133,46,87,0
,City of NEW RICHMOND Wards 5-6,101,45,56,0
,City of NEW RICHMOND Wards 7-8,140,51,88,1
,City of NEW RICHMOND Wards 9-10,164,82,81,1
,City of NEW RICHMOND Wards 11-12,190,68,122,0
,"CITY OF RIVER FALLS Wards 1-4,15",619,256,363,0
,County Totals:,"12,199","6,067","6,114",18
SAUK ,Town of BARABOO Ward 1,191,86,105,0
,Town of BARABOO Ward 2,69,28,41,0
,Town of BARABOO Ward 3,93,37,56,0
,Town of BARABOO Ward 4,116,58,58,0
,Town of BEAR CREEK Ward 1,138,51,87,0
,Town of DELLONA Wards 1-2,346,169,177,0
,Town of DELTON Ward 1,69,39,30,0
,Town of DELTON Ward 2,79,36,43,0
,Town of DELTON Ward 3,80,36,44,0
,Town of DELTON Ward 4,185,83,102,0
,Town of EXCELSIOR Wards 1-2,337,157,180,0
,Town of EXCELSIOR Ward 3,70,42,28,0
,Town of FAIRFIELD Ward 1,184,86,98,0
,Town of FAIRFIELD Ward 2,93,36,57,0
,Town of FRANKLIN Ward 1,29,13,16,0
,Town of FRANKLIN Ward 2,110,47,63,0
,Town of FRANKLIN Ward 3,5,1,4,0
,Town of FREEDOM Ward 1,49,26,23,0
,Town of FREEDOM Ward 2,75,37,38,0
,Town of GREENFIELD Ward 1,299,136,163,0
,Town of HONEY CREEK Ward 1,175,65,110,0
,Town of IRONTON Ward 1,121,73,48,0
,Town of LA VALLE Wards 1-2,282,145,137,0
,Town of LA VALLE Ward 3,37,20,17,0
,Town of MERRIMAC Ward 1,290,137,153,0
,Town of PRAIRIE DU SAC Ward 1,112,56,56,0
,Town of PRAIRIE DU SAC Ward 2,131,55,76,0
,Town of REEDSBURG Wards 1-2,203,105,98,0
,Town of REEDSBURG Ward 3,58,32,26,0
,"Town of SPRING GREEN Wards 1,4",296,115,181,0
,Town of SPRING GREEN Ward 2,78,26,52,0
,Town of SPRING GREEN Ward 3,70,23,47,0
,Town of SUMPTER Ward 1,29,10,19,0
,Town of SUMPTER Ward 2,56,36,20,0
,Town of SUMPTER Ward 3,34,15,19,0
,Town of TROY Ward 1,197,100,97,0
,Town of WASHINGTON Ward 1,70,41,29,0
,Town of WASHINGTON Ward 2,66,37,29,0
,Town of WESTFIELD Ward 1,156,102,54,0
,Town of WINFIELD Ward 1,97,54,43,0
,Town of WINFIELD Ward 2,102,49,53,0
,Town of WOODLAND Ward 1,153,89,64,0
,VILLAGE OF CAZENOVIA Ward 2,2,0,2,0
,Village of IRONTON Ward 1,18,11,7,0
,Village of LAKE DELTON Wards 1-2,190,91,99,0
,Village of LAKE DELTON Wards 3-8,74,36,38,0
,Village of LAVALLE Ward 1,70,35,35,0
,Village of LIME RIDGE Ward 1,44,22,22,0
,Village of LOGANVILLE Ward 1,44,19,25,0
,Village of MERRIMAC Ward 1,113,56,57,0
,Village of NORTH FREEDOM Ward 1,90,40,50,0
,Village of PLAIN Ward 1,170,80,90,0
,"Village of PRAIRIE DU SAC Wards 1,4",479,145,334,0
,Village of PRAIRIE DU SAC Wards 2-3,486,163,323,0
,Village of ROCK SPRINGS Ward 1,64,29,35,0
,"Village of SAUK CITY Wards 1-2,5",407,126,281,0
,Village of SAUK CITY Wards 3-4,311,108,203,0
,Village of SPRING GREEN Wards 1-2,449,122,327,0
,Village of WEST BARABOO Ward 1-2,231,86,145,0
,"City of BARABOO Wards 1,13",243,93,150,0
,"City of BARABOO Wards 2,12",325,140,185,0
,City of BARABOO Ward 3,269,91,178,0
,City of BARABOO Ward 4,108,39,69,0
,City of BARABOO Ward 5,93,43,50,0
,"City of BARABOO Wards 6,8",222,90,132,0
,City of BARABOO Ward 7,236,77,159,0
,City of BARABOO Wards 9-10,433,169,264,0
,City of BARABOO Ward 11,234,95,139,0
,City of BARABOO Ward 14,157,85,72,0
,City of REEDSBURG Wards 1-3,228,123,105,0
,"City of REEDSBURG Wards 4,6",233,113,120,0
,City of REEDSBURG Ward 5,129,79,50,0
,City of REEDSBURG Wards 7-9,348,160,188,0
,City of REEDSBURG Wards 10-12,249,135,114,0
,City of REEDSBURG Ward 13,31,12,19,0
,City of REEDSBURG Ward 14,109,56,53,0
,"CITY OF WISCONSIN DELLS Wards 4,8,10",28,18,10,0
,County Totals:,"12,347","5,376","6,971",0
SAWYER ,Town of BASS LAKE Ward 1-5,349,154,195,0
,Town of COUDERAY Ward 1,36,25,11,0
,Town of DRAPER Ward 1,53,24,29,0
,Town of EDGEWATER Wards 1-2,89,49,40,0
,Town of HAYWARD Wards 1-2,462,237,225,0
,Town of HAYWARD Wards 3-4,0,0,0,0
,Town of HAYWARD Wards 5-6,0,0,0,0
,Town of HAYWARD Ward 7,0,0,0,0
,Town of HAYWARD Ward 8,0,0,0,0
,Town of HUNTER Ward 1,110,52,57,1
,Town of LENROOT Ward 1-2,224,112,112,0
,Town of MEADOWBROOK Ward 1,27,23,4,0
,Town of METEOR Ward 1,38,30,8,0
,Town of OJIBWA Wards 1-2,29,16,13,0
,Town of RADISSON Wards 1-2,40,22,18,0
,Town of ROUND LAKE Wards 1-2,219,122,97,0
,Town of SAND LAKE Ward 1,124,59,65,0
,Town of SPIDER LAKE Ward 1,103,62,41,0
,Town of WEIRGOR Ward 1,40,29,11,0
,Town of WINTER Wards 1-2,156,82,74,0
,Village of COUDERAY Ward 1,51,23,28,0
,Village of EXELAND Ward 1,31,16,15,0
,Village of RADISSON Ward 1,30,21,9,0
,Village of WINTER Ward 1,84,53,31,0
,City of HAYWARD Wards 1-6,223,112,111,0
,County Totals:,"2,518","1,323","1,194",1
SHAWANO ,Town of ALMON Ward 1,66,42,24,0
,Town of ANGELICA Wards 1-3,203,123,80,0
,Town of ANIWA Ward 1,59,35,24,0
,Town of BARTELME Ward 1,89,20,69,0
,Town of BELLE PLAINE Wards 1-3,239,122,117,0
,Town of BIRNAMWOOD Ward 1,73,39,34,0
,Town of FAIRBANKS Ward 1,83,62,21,0
,Town of GERMANIA Wards 1-2,37,15,22,0
,Town of GRANT Wards 1-2,89,66,23,0
,Town of GREEN VALLEY Wards 1-2,122,78,44,0
,Town of HARTLAND Ward 1,103,79,24,0
,Town of HERMAN Wards 1-2,67,41,26,0
,Town of HUTCHINS Ward 1,90,67,23,0
,Town of LESSOR Wards 1-2,141,99,42,0
,Town of MAPLE GROVE Ward 1,135,64,71,0
,Town of MORRIS Ward 1,72,33,39,0
,Town of NAVARINO Ward 1,71,43,28,0
,Town of PELLA Ward 1,132,90,42,0
,Town of RED SPRINGS Wards 1-2,109,43,66,0
,Town of RICHMOND Wards 1-3,271,166,105,0
,Town of SENECA Ward 1,88,51,37,0
,Town of WASHINGTON Wards 1-3,226,138,88,0
,Town of WAUKECHON Wards 1-2,119,83,36,0
,Town of WESCOTT Wards 1-4,356,206,150,0
,Town of WITTENBERG Wards 1-2,121,87,34,0
,Village of ANIWA Ward 1,28,13,15,0
,Village of BIRNAMWOOD Ward 1,109,62,47,0
,Village of BONDUEL Ward 1-2,182,96,86,0
,Village of BOWLER Ward 1,44,24,20,0
,Village of CECIL Ward 1,109,65,44,0
,Village of ELAND Ward 1,41,25,16,0
,Village of GRESHAM Ward 1,50,25,25,0
,Village of MATTOON Ward 1,54,24,30,0
,"VILLAGE OF PULASKI Ward 4,7",9,3,6,0
,Village of TIGERTON Ward 1,99,58,41,0
,Village of WITTENBERG Wards 1-2,108,50,58,0
,CITY OF MARION Wards 4-6,0,0,0,0
,City of SHAWANO Wards 1-2,295,155,140,0
,City of SHAWANO Wards 3-4,224,112,112,0
,City of SHAWANO Wards 5-6,199,103,96,0
,City of SHAWANO Wards 7-8,190,95,95,0
,City of SHAWANO Wards 9-10,229,107,122,0
,City of SHAWANO Wards 11-12,262,132,130,0
,County Totals:,"5,393","3,041","2,352",0
SHEBOYGAN ,Town of GREENBUSH Wards 1-3,425,258,167,0
,Town of HERMAN Wards 1-3,290,191,99,0
,Town of HOLLAND Wards 1-3,646,500,146,0
,Town of LIMA Wards 1-4,691,529,162,0
,Town of LYNDON Wards 1-3,357,228,128,1
,Town of MITCHELL Wards 1-3,391,257,134,0
,Town of MOSEL Ward 1,161,98,62,1
,Town of PLYMOUTH Wards 1-4,952,567,383,2
,Town of RHINE Wards 1-3,553,320,232,1
,Town of RUSSELL Ward 1,79,51,28,0
,Town of SCOTT Wards 1-3,388,293,95,0
,Town of SHEBOYGAN Wards 1-10,"1,510",829,679,2
,Town of SHEBOYGAN FALLS Wards 1-3,322,232,90,0
,Town of SHERMAN Wards 1-2,314,232,82,0
,Town of WILSON Wards 1-4,855,484,370,1
,Village of ADELL Ward 1,94,73,21,0
,Village of CASCADE Ward 1,173,117,56,0
,Village of CEDAR GROVE Wards 1-3,430,364,66,0
,Village of ELKHART LAKE Wards 1-2,364,158,205,1
,Village of GLENBEULAH Ward 1,101,32,69,0
,Village of HOWARDS GROVE Wards 1-4,592,340,252,0
,Village of KOHLER Ward 1-3,544,291,251,2
,Village of OOSTBURG Wards 1-4,704,589,115,0
,Village of RANDOM LAKE Wards 1-2,327,197,130,0
,Village of WALDO Ward 1,100,71,29,0
,City of PLYMOUTH Ward 1-3,457,234,222,1
,City of PLYMOUTH Ward 4-6,517,240,277,0
,City of PLYMOUTH Ward 7-9,536,249,286,1
,City of PLYMOUTH Ward 10-12,486,241,245,0
,City of SHEBOYGAN Ward 1,390,160,229,1
,City of SHEBOYGAN Ward 2,355,143,211,1
,City of SHEBOYGAN Ward 3,348,146,202,0
,City of SHEBOYGAN Ward 4,161,53,108,0
,City of SHEBOYGAN Ward 5,332,160,172,0
,City of SHEBOYGAN Ward 6,84,42,42,0
,City of SHEBOYGAN Ward 7,33,20,13,0
,City of SHEBOYGAN Ward 8,129,46,83,0
,City of SHEBOYGAN Ward 9,28,10,18,0
,City of SHEBOYGAN Ward 10,150,65,85,0
,City of SHEBOYGAN Ward 11,242,91,151,0
,City of SHEBOYGAN Ward 12,328,120,207,1
,City of SHEBOYGAN Ward 13,382,128,254,0
,City of SHEBOYGAN Ward 14,168,57,110,1
,City of SHEBOYGAN Ward 15,103,45,58,0
,City of SHEBOYGAN Ward 16,258,125,132,1
,City of SHEBOYGAN Ward 17,235,89,146,0
,City of SHEBOYGAN Ward 18,142,56,86,0
,City of SHEBOYGAN Ward 19,377,186,191,0
,City of SHEBOYGAN Ward 20,184,82,102,0
,City of SHEBOYGAN Ward 21,116,52,64,0
,City of SHEBOYGAN Ward 22,333,114,219,0
,City of SHEBOYGAN Ward 23,372,186,186,0
,City of SHEBOYGAN Ward 24,367,135,232,0
,City of SHEBOYGAN Ward 25,291,131,160,0
,City of SHEBOYGAN Ward 26,334,171,163,0
,City of SHEBOYGAN Ward 27,0,0,0,0
,City of SHEBOYGAN Ward 28,0,0,0,0
,City of SHEBOYGAN Ward 29,0,0,0,0
,City of SHEBOYGAN Ward 30,0,0,0,0
,City of SHEBOYGAN Ward 31,0,0,0,0
